"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
1.21554566132371e-231,-0.788276998010047,0.218,0.337,2.57403949241909e-227,"SATB1"
3.56743431512328e-259,-0.789423931992473,0.237,0.367,7.55439890570505e-255,"ABLIM1"
0,-0.791453569396969,0.826,0.879,0,"HSPA8"
2.1754699724468e-189,-0.792373400493674,0.549,0.667,4.60677521365335e-185,"SAT1"
0,-0.794370840388963,0.43,0.59,0,"SRSF2"
4.81430080996236e-179,-0.7955686977463,0.197,0.298,1.01947633951763e-174,"SAMSN1"
5.52666460697792e-214,-0.795635366481832,0.18,0.291,1.17032649717364e-209,"IDI1"
3.70417028728801e-304,-0.80322318552399,0.234,0.377,7.84395100036109e-300,"RGS2"
9.95541183598222e-294,-0.806996698318636,0.238,0.375,2.10815801038759e-289,"CAMK4"
5.02818578695722e-242,-0.807443139921378,0.189,0.308,1.06476862224606e-237,"OXNAD1"
6.33965905117595e-247,-0.81461358739481,0.14,0.25,1.34248620067702e-242,"CD83"
0,-0.816445180462098,0.887,0.928,0,"UBC"
0,-0.820668698410386,0.271,0.424,0,"CCNH"
0,-0.824928559643139,0.925,0.925,0,"BTG1"
1.35560555555223e-122,-0.825852739338838,0.294,0.387,2.8706303244374e-118,"SOD2"
7.82809580247312e-302,-0.826224376237461,0.231,0.376,1.65767756713171e-297,"ZFAND5"
2.51455695437329e-228,-0.829231054029051,0.169,0.282,5.32482580658087e-224,"TLE4"
1.52868281425155e-265,-0.830917667302836,0.179,0.306,3.23713872745909e-261,"ARID5A"
0,-0.83255180642029,0.198,0.343,0,"MARCKSL1"
0,-0.83645351582892,0.196,0.344,0,"ZBTB1"
2.81617418129511e-318,-0.855578079994511,0.351,0.496,5.96353044631051e-314,"REL"
0,-0.86552821188925,0.234,0.383,0,"TMC8"
0,-0.87152525705459,0.414,0.638,0,"SRSF11"
9.03338607018332e-173,-0.877607347544144,0.199,0.297,1.91290983422202e-168,"ATP2B1"
7.22314191720115e-317,-0.881803319612901,0.247,0.395,1.52957253238652e-312,"CHD1"
4.74853615984016e-269,-0.892107197902867,0.19,0.318,1.00555001720775e-264,"CNOT6L"
0,-0.90917961997948,0.247,0.428,0,"CMPK1"
0,-0.915540930196847,0.525,0.681,0,"DDIT4"
0,-0.930791837199515,0.501,0.698,0,"SLC2A3"
0,-0.939449463038119,0.17,0.32,0,"RABGGTB"
1.67456037917947e-183,-0.940485762418786,0.164,0.263,3.54604905895044e-179,"NAMPT"
0,-0.944408395851177,0.705,0.852,0,"HSP90AB1"
0,-0.955656021308665,0.385,0.555,0,"PPP1R2"
0,-0.965014888778042,0.185,0.338,0,"RNF138"
0,-0.969706983597229,0.225,0.38,0,"SNHG15"
